Attribute label	Attribute name	Status	Data type	Conformed name
`Unit Relation: Relation Identifier`_	``::relation:id``	required	uuid-string	``:claim/about-entity:id``
`Unit Relation: Claim Citation Identifier`_	``::relation:claim:citation:id``	required	strings<->uuids	``:claim/citation:ids``
`Unit Relation: Unit Identifier`_	``::relation:unit:id``	optional	uuid-string	``:assertion/relation:unit:id``
`Unit Relation: Related Unit Identifier`_	``::relation:related_unit:id``	optional	uuid-string	``:assertion/relation:related-unit:id``
`Unit Relation: Type of Relation`_	``::relation:type``	optional	string	``:assertion/relation:type``
`Unit Relation: Relation Classification`_	``::relation:related_unit_class``	optional	string	``:assertion/relation:related-unit-class``
`Unit Relation: Earliest Precise Date`_	``::relation:date-range-precise:first``	optional	string-date<->timestamp	``:range-precise/first``
`Unit Relation: Latest Precise Date`_	``::relation:date-range-precise:last``	optional	string-date<->timestamp	``:range-precise/last``
`Unit Relation: Earliest Imprecise Date`_	``::relation:date-range-imprecise:first``	optional	string-date<->timestamp	``:range-imprecise/first``
`Unit Relation: Latest Imprecise Date`_	``::relation:date-range-imprecise:last``	optional	string-date<->timestamp	``:range-precise/last``
`Unit Relation: Date Range is a Start Date`_	``::relation:date-range:starting?``	optional	YN<->bool	``:range/starting?``
`Unit Relation: Date Range is an End Date`_	``::relation:date-range:ending?``	optional	YN<->bool	``:range/ending?``
`Unit Relation: Research Comments`_	``::relation:claim:comment``	optional	string	``:meta/comment``
`Unit Relation: Research Owner`_	``::relation:claim:researcher``	optional	string	``:meta/researcher``
`Unit Relation: Research Status`_	``::relation:claim:status``	optional	status	``:meta/status``
