Attribute label , Status , Data type , Key name
`type:claim` , required , string , ``:claim/type``
`status:meta` , required , string , ``:claim/statuses`` 
`researcher:meta` , required , string , ``:meta/researchers``
`internal_comments:meta` , optional , string , ``:meta/internal-comments``
`citation:refs:claim` , required , strings<->uuids , ``:claim/citation:refs``
`about_entity:ref:claim` , required , string<->uuid , ``:claim/about-entity:ref``
`about_entity:name:qa` , optional , string , n/a
`name:annotation` , optional , string , ``:annotation/name``
`materiel:names:assertion` , required , string , in development
`materiel:classifications:assertion` , optional , cell-list , in development
`materiel:media_description:annotation` , optional , string , in development
`materiel:roles:assertion` , optional , string , in development
`first_precise:range` , optional , string-date , ``:range-precise/first``
`last_precise:range` , optional , string-date , ``:range-precise/last``
`first_imprecise:range` , optional , string-date , ``:range-imprecise/first``
`last_imprecise:range` , optional , string-date , ``:range-imprecise/last``
`starting:range` , required , YN<->bool , ``:range/starting?``
`ending:range` , required , YN<->bool , ``:range/ending?``
`starting_context:range` , optional , string , ``:range/starting-context``
`ending_context:range` , optional , string , ``:range/ending-context``
`public_notes:meta` , optional , string , ``:meta/public-notes``
`type:entity` , required , string , ``:entity/type``
