Attribute label	Status	Data type	Key name
`type:claim` required string ``:claim/type``
`status:meta` required string  ``:claim/statuses`` 
`researcher:meta` required string  ``:meta/researchers``
`internal_comments:meta`  optional  string  ``:meta/internal-comments``
`citation:refs:claim`  required  strings<->uuids  ``:claim/citation:refs``
`about_entity:ref:claim`  required  string<->uuid  ``:claim/about-entity:ref``
`about_entity:name:qa`  optional  string  ``:claim/about-entity:ref``
`posting:person:refs:assertion`  required  string<->uuid  ``:assertion/posting:person:refs``
`posting:person:names:qa`  optional  string  ``:assertion/posting:person:refs``
`posting:unit:refs:assertion`  required  string<->uuid  ``:assertion/posting:unit:refs``
`posting:unit:names:qa`  optional  string  ``:assertion/posting:unit:refs``
`posting:roles:assertion`  optional  string  ``:assertion/posting:roles``
`posting:titles:assertion`  optional  string  ``:assertion/posting:titles``
`posting:ranks:assertion`  optional  string  ``:assertion/posting:ranks``
`first_precise:range`  optional string-date  ``:range-precise/first``
`last_precise:range`  optional  string-date  ``:range-precise/last``
`first_imprecise:range`  optional  string-date  ``:range-imprecise/first``
`last_imprecise:range` optional  string-date  ``:range-imprecise/last``
`starting:range` required YN<->bool ``:range/starting?``
`ending:range` required YN<->bool ``:range/ending?``
`starting_context:range`  optional  string  ``:range/starting-context``
`ending_context:range`  optional  string  ``:range/ending-context``
`public_notes:meta`  optional  string  ``:meta/public-notes``
`type:entity`  required  string  ``:entity/type``
