Attribute label , Status , Data type , Key name
`type:claim` , required , string , ``:claim/type``
`status:meta` , required , string , ``:claim/statuses`` 
`researcher:meta` , required , string , ``:meta/researchers``
`internal_comments:meta` , optional , string , ``:meta/internal-comments``
`citation:refs:claim` , required , strings<->uuids , ``:claim/citation:refs``
`about_entity:ref:claim` , required , string<->uuid , ``:claim/about-entity:ref``
`about_entity:name:qa` , optional , string , n/a
`training:program:refs:assertion` , optional , string , proposed
`training:course:refs:assertion` , optional , string , proposed
`training:trainer_unit:refs:assertion` , optional , string<->uuid , proposed
`training:trainer_unit:names:qa` , optional , string , n/a  
`training:recepient_unit:refs:assertion` , optional , string<->uuid , proposed
`training:recipent_unit:names:qa` , optional , string , n/a
`training:recipient:classifications:assertion` , optional , list , proposed
`training:recipient_country:annotation` , optional , string , ``:annotation/country``
`training:location:descriptions:assertion` , optional , strings , proposed
`training:location:refs:assertion` , optional , strings<->uuids , proposed
`training:location:names:qa` , optional , strings , proposed
`training:quantity:assertion` , optional , strings , proposed
`training:cost:assertion` , optional , strings , proposed
`training:cost_currency:assertion` , optional , strings , proposed
`first_precise:range` , optional , string-date , ``:range-precise/first``
`last_precise:range` , optional , string-date , ``:range-precise/last``
`first_imprecise:range` , optional , string-date , ``:range-imprecise/first``
`last_imprecise:range` , optional , string-date , ``:range-imprecise/last``
`starting:range` , required , YN<->bool , ``:range/starting?``
`ending:range` , required , YN<->bool , ``:range/ending?``
`starting_context:range` , optional , string , ``:range/starting-context``
`ending_context:range` , optional , string , ``:range/ending-context``
`public_notes:meta` , optional , string , ``:meta/public-notes``
`type:entity` , required , string , ``:entity/type``
