Attribute label , Status , Data type , Key name
`type:claim` , required , string , ``:claim/type``
`status:meta` , required , string , ``:claim/statuses`` 
`researcher:meta` , required , string , ``:meta/researchers``
`internal_comments:meta` , optional , string , ``:meta/internal-comments``
`citation:refs:claim` , required , strings<->uuids , ``:claim/citation:refs``
`about_entity:ref:claim` , required , string<->uuid , ``:claim/about-entity:ref``
`about_entity:name:qa` , optional , string , ``:claim/about-entity:ref``
`name:annotation`  optional  string  ``:annotation/name``
`unit:names:assertion` required  string  ``:assertion/unit:names``
`unit:classifications:assertion`  optional	cell-list  ``:assertion/unit:classifications``
`country:annotation`  required  country-iso-string  ``:annotation/country``
`first_precise:range` , optional , string-date , ``:range-precise/first``
`last_precise:range` , optional , string-date , ``:range-precise/last``
`first_imprecise:range` , optional , string-date , ``:range-imprecise/first``
`last_imprecise:range` , optional , string-date , ``:range-imprecise/last``
`starting:range` , required , YN<->bool , ``:range/starting?``
`ending:range` , required , YN<->bool , ``:range/ending?``
`starting_context:range` , optional , string , ``:range/starting-context``
`ending_context:range` , optional , string , ``:range/ending-context``
`public_notes:meta` , optional , string , ``:meta/public-notes``
`type:entity` , required , string , ``:entity/type``
